date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:44	18956/18956	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:07%20GMT	https://autobuy.io/@AyuNovalia_Shop	C:/Users/bdstd/Downloads/WEB/autobuy.io/@AyuNovalia_Shop.html	(from )
22:15:45	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%225krDvrFZR/bO+vsM9MWJEqLwmaaIlOHKjmnfw/fmLSk=%22	https://autobuy.io/robots.txt		(from )
22:15:45	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%224MEsg3Q3S/r+Vqqlei3CGPDMEhbpNEFm6Hjrp/78HQQ=%22	https://autobuy.io/favicon.ico	C:/Users/bdstd/Downloads/WEB/autobuy.io/favicon.ico	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:46	1685626/1685626	---MCZ	200	added ('OK')	text/css	etag:W/%22PprOXqrJgOdhBrcxeJu+55GZ8iBLSMgryC9ieIbM8sI=%22	https://autobuy.io/css/site.min.css?v=ztS_oSB_HS9FeOr0Ak7LvBghazx83hQ4IbP4TMuU9-M	C:/Users/bdstd/Downloads/WEB/autobuy.io/css/site.min5e38.css	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:46	263148/263148	---MCZ	200	added ('OK')	text/javascript	etag:W/%22OjzvwpVnhm3aOw0qPwvvzGlgVRuVRXW836d2xs01msY=%22	https://autobuy.io/js/site.min.js?v=SjCdA-w6yW-X-u18c56kRx1cjGXnYE5zQZZoJfVCpHk	C:/Users/bdstd/Downloads/WEB/autobuy.io/js/site.min2871.js	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:46	15165/15165	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2014:44:03%20GMT	https://autobuy.io/	C:/Users/bdstd/Downloads/WEB/autobuy.io/index.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:46	8975/8975	---M--	200	added ('OK')	image/png	etag:%22hzVATygMJbbUfLQ7wvI5fr05ybVzlyrO6pQCCDEbyA0=%22	https://autobuy.io/images/cube.png	C:/Users/bdstd/Downloads/WEB/autobuy.io/images/cube.png	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:47	16725/16725	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:10%20GMT	https://autobuy.io/Account/Login?returnUrl=%2F@AyuNovalia_Shop	C:/Users/bdstd/Downloads/WEB/autobuy.io/Account/Loginf697.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:48	17240/17240	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:11%20GMT	https://autobuy.io/Account/Register?returnUrl=%2F@AyuNovalia_Shop	C:/Users/bdstd/Downloads/WEB/autobuy.io/Account/Registerf697.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:48	13188/13188	---MCZ	200	added ('OK')	text/css	etag:W/%22+fCquSwmAhrUYOgR8U7mITYLZPN1XOvgXTt9P5KZNpk=%22	https://autobuy.io/css/StoreFront/Index.min.css?v=TC0CV--dn_mSBXAz4Qu8r9zOwR27ea2BjpZHBSQ1Bcg	C:/Users/bdstd/Downloads/WEB/autobuy.io/css/StoreFront/Index.minca3d.css	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:49	66796/66796	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202026%2015:16:12%20GMT	https://autobuy.io/Image/ProfileImg/13c634c8-a7ad-4a79-7aa9-08dad2c3a063	C:/Users/bdstd/Downloads/WEB/autobuy.io/Image/ProfileImg/13c634c8-a7ad-4a79-7aa9-08dad2c3a063.jpg	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:49	244987/244987	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202026%2015:16:11%20GMT	https://autobuy.io/Image/View/f55c2c3a-afd5-47ab-041a-08d9f2352860	C:/Users/bdstd/Downloads/WEB/autobuy.io/Image/View/f55c2c3a-afd5-47ab-041a-08d9f2352860.jpg	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:49	33108/33108	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:12%20GMT	https://autobuy.io/@AyuNovalia_Shop/Feedback	C:/Users/bdstd/Downloads/WEB/autobuy.io/@AyuNovalia_Shop/Feedback.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:49	5730/5730	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2012%20Jun%202026%2015:16:12%20GMT	https://autobuy.io/@AyuNovalia_Shop/TicketCreate	C:/Users/bdstd/Downloads/WEB/autobuy.io/@AyuNovalia_Shop/TicketCreate	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:49	49462/49462	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:13%20GMT	https://autobuy.io/@AyuNovalia_Shop/Product/a50c12a8-120e-4e73-c9e6-08d8ea7ddc42	C:/Users/bdstd/Downloads/WEB/autobuy.io/@AyuNovalia_Shop/Product/a50c12a8-120e-4e73-c9e6-08d8ea7ddc42.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:50	306270/306270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202026%2015:16:13%20GMT	https://autobuy.io/Image/Product/75c25ac8-0c38-435e-0424-08d9f2352860	C:/Users/bdstd/Downloads/WEB/autobuy.io/Image/Product/75c25ac8-0c38-435e-0424-08d9f2352860.jpg	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:50	49474/49474	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2015:16:13%20GMT	https://autobuy.io/@AyuNovalia_Shop/Product/0b63bef7-6a63-4204-c9e8-08d8ea7ddc42	C:/Users/bdstd/Downloads/WEB/autobuy.io/@AyuNovalia_Shop/Product/0b63bef7-6a63-4204-c9e8-08d8ea7ddc42.html	(from https://autobuy.io/@AyuNovalia_Shop)
22:15:50	306270/306270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202026%2015:16:14%20GMT	https://autobuy.io/Image/Product/82463843-3fe3-4be4-0423-08d9f2352860	C:/Users/bdstd/Downloads/WEB/autobuy.io/Image/Product/82463843-3fe3-4be4-0423-08d9f2352860.jpg	(from https://autobuy.io/@AyuNovalia_Shop)
